Species,Hum,R,MC,arm,F,T,MT,leg,logta,logtl,BI,type,weight
Crypturellus boucardi,49,48.5,28.7,126.2,50.7,75.9,52,178.6,2.1,2.25,1.01,bird,
Crypturellus noctivagus,58.2,54.9,32.5,145.6,58,86.4,59.5,203.9,2.16,2.31,1.06,bird,
Nothura maculosa,43.3,41.3,24.7,109.3,42.4,62.3,39,143.7,2.04,2.16,1.05,bird,
Tinamus major,75,72.2,42.6,189.8,65,98.2,69,232.2,2.28,2.37,1.04,bird,
Tinamus tao,80,80.9,45.8,206.7,70,108,70.8,248.8,2.32,2.4,0.99,bird,
Aechmophorus occidentalis,113.2,98.3,50.7,262.2,44.7,110.8,68,223.5,2.42,2.35,1.15,bird,
Podiceps auritus,77.8,68.3,34.3,180.4,33.6,77,46.9,157.5,2.26,2.2,1.14,bird,
Podiceps auritus,74.4,64.2,32.4,171,31.4,70.3,44.5,146.2,2.23,2.16,1.16,bird,
Podiceps auritus,75.3,66,31.7,173,30.8,70.7,43.3,144.8,2.24,2.16,1.14,bird,
Podiceps auritus,77.2,67.3,35.2,179.7,32.5,73.3,46.1,151.9,2.25,2.18,1.15,bird,
Podiceps auritus,79.7,70.3,34.3,184.3,33.2,77.1,48.4,158.7,2.27,2.2,1.13,bird,
Podiceps caspicus,69.6,63.4,31.9,164.9,31.7,66.6,41.7,140,2.22,2.15,1.1,bird,
Podiceps caspicus,69.2,61.1,29.8,160.1,30.3,64.3,38.9,133.5,2.2,2.13,1.13,bird,
Podiceps caspicus,69.4,62,31.3,162.7,29.8,63.9,40.8,134.5,2.21,2.13,1.12,bird,
Podiceps grisegena,117.2,102.9,46.6,266.7,46,107.5,61.9,215.4,2.43,2.33,1.14,bird,
Podilymbus podiceps,77.6,71.9,,149.5,40.4,72.7,41.6,154.7,2.17,2.19,1.08,bird,
Podilymbus podiceps,69.6,62.7,33.2,165.5,36.6,64.8,37.4,138.8,2.22,2.14,1.11,bird,
Podilymbus podiceps,79.3,71.8,36.2,187.3,41.8,75.3,43.9,161,2.27,2.21,1.1,bird,
Podilymbus podiceps,67.6,60.9,30.7,159.2,36.2,63.2,36.9,136.3,2.2,2.13,1.11,bird,
Podilymbus podiceps,68.1,61.1,31.5,160.7,37.1,63.1,37.5,137.7,2.21,2.14,1.11,bird,
Gavia immer,198,158,100.1,456.1,61.8,150,93.6,305.4,2.66,2.48,1.25,bird,
Gavia immer,200,160,106,466,60.3,150.4,94.2,304.9,2.67,2.48,1.25,bird,
Gavia immer,192,158,101,451,56.4,143.3,90.2,289.9,2.65,2.46,1.22,bird,
Gavia immer,177,144,90.5,411.5,51.1,134,85.3,270.4,2.61,2.43,1.23,bird,
Gavia immer,194,151,88,433,58,141.1,87.8,286.9,2.64,2.46,1.28,bird,
Gavia immer,196,155,102.5,453.5,60,146,91.7,297.7,2.66,2.47,1.26,bird,
Gavia immer,180,139,91.9,410.9,55.9,135,86.3,277.2,2.61,2.44,1.29,bird,
Gavia immer,187,150,96,433,57.7,140,87.1,284.8,2.64,2.45,1.25,bird,
Gavia immer,170,138,90.1,398.1,49.8,134,81.6,265.4,2.6,2.42,1.23,bird,
Gavia immer,198,159,104,461,60.5,155,97,312.5,2.66,2.49,1.25,bird,
Gavia immer,195,157,108,460,57.6,145,95,297.6,2.66,2.47,1.24,bird,
Gavia immer,207,167,113,487,65.9,160,101,326.9,2.69,2.51,1.24,bird,
Gavia immer,167,132,86.4,385.4,49.5,127,82.2,258.7,2.59,2.41,1.27,bird,
Gavia immer,199,156,100.8,455.8,57.3,146,92.5,295.8,2.66,2.47,1.28,bird,
Gavia immer,196,153,99.9,448.9,59.8,151,95,305.8,2.65,2.49,1.28,bird,
Gavia immer,192,155,102,449,62.1,150,93.2,305.3,2.65,2.48,1.24,bird,
Gavia immer,177,141,95.2,413.2,54.1,140,85,279.1,2.62,2.45,1.26,bird,
Gavia immer,195,153,99.7,447.7,59.1,144,91.8,294.9,2.65,2.47,1.27,bird,
Gavia immer,185,153,96.7,434.7,57.6,147,91.3,295.9,2.64,2.47,1.21,bird,
Gavia immer,200,160,105.4,465.4,57.8,149,93.6,300.4,2.67,2.48,1.25,bird,
Gavia immer,191,151,99.6,441.6,56.5,146,88.3,290.8,2.65,2.46,1.26,bird,
Gavia immer,194,154,102.1,450.1,56.5,145,92.4,293.9,2.65,2.47,1.26,bird,
Gavia immer,190,151,100.4,441.4,56.9,140,91,287.9,2.64,2.46,1.26,bird,
Gavia immer,204,163,105,472,61.3,154,95.1,310.4,2.67,2.49,1.25,bird,
Gavia immer,193,155,99.2,447.2,55.5,146,91.1,292.6,2.65,2.47,1.25,bird,
Gavia immer,180,145,93.3,418.3,52.8,135,84.3,272.1,2.62,2.43,1.24,bird,
Gavia immer,180,145,96,421,54.1,138,88.6,280.7,2.62,2.45,1.24,bird,
Gavia immer,181,154,99,434,55.9,138,88.5,282.4,2.64,2.45,1.18,bird,
Gavia immer,194,157,98.9,449.9,55.9,140,89.2,285.1,2.65,2.45,1.24,bird,
Gavia immer,211,167,111,489,63.5,154,101.8,319.3,2.69,2.5,1.26,bird,
Gavia immer,185,145,93.4,423.4,57.3,138,89.1,284.4,2.63,2.45,1.28,bird,
Gavia immer,210,165,108.8,483.8,62.3,153,100.1,315.4,2.68,2.5,1.27,bird,
Gavia immer,208,167,110,485,62.9,160,97.7,320.6,2.69,2.51,1.25,bird,
Gavia immer,211,164,108.5,483.5,65.8,155,96.1,316.9,2.68,2.5,1.29,bird,
Gavia immer,205,158,104.1,467.1,55.3,151,93.2,299.5,2.67,2.48,1.3,bird,
Gavia immer,184,148,95.9,427.9,58.8,140,88.6,287.4,2.63,2.46,1.24,bird,
Gavia immer,192,153,100.5,445.5,53.1,146,94.2,293.3,2.65,2.47,1.25,bird,
Gavia immer,176,139,91.4,406.4,53.2,131,82.9,267.1,2.61,2.43,1.27,bird,
Gavia immer,173,136.4,90.7,400.1,50.2,129,82.2,261.4,2.6,2.42,1.27,bird,
Gavia immer,208,171,109,488,64.2,159,98,321.2,2.69,2.51,1.22,bird,
Gavia sp.,176,138,91,405,51.1,131.3,83.3,265.7,2.61,2.42,1.28,bird,
Gavia stellata,140.5,111.4,76.7,328.6,36.7,113.6,70.9,221.2,2.52,2.34,1.26,bird,
Gavia stellata,138.3,107.8,73.1,319.2,38.6,113.9,71.6,224.1,2.5,2.35,1.28,bird,
Gavia stellata,136.6,108.6,67,312.2,40.3,114.4,72.4,227.1,2.49,2.36,1.26,bird,
Gavia stellata,128.5,104.5,70.7,303.7,38.3,110.7,70.9,219.9,2.48,2.34,1.23,bird,
Diomedea chrysostoma,264,263,104,631,82,157,84,323,2.8,2.51,1,bird,
Diomedea exulans,438,447,150,1035,109,224,126,459,3.01,2.66,0.98,bird,
Diomedea exulans,394,397,145,936,98,197,109,404,2.97,2.61,0.99,bird,
Diomedea exulans,398,405,142,945,99,202,107,408,2.98,2.61,0.98,bird,
