Species,weight,type,MC
accipiter cooperii,526.64,bird,39.9
accipiter gentilis,1044.2,bird,56
buteo jamaicensis,1362,bird,66
buteo rufinus,1174.5,bird,61
circus cyaneus,392,bird,57
elanus leucurus,280,bird,44
gypaetus barbatus,5070,bird,114
gyps fulvus,7436,bird,132
neophron percnopterus,2082,bird,75
pernis apivorus,758,bird,63
cathartes aura,2200,bird,72
coragyps atratus,2270,bird,69
gymnogyps californianus,11175,bird,132
vultur gryphus,10500,bird,131
pandion haliaetus,1362,bird,88
aix sponsa,452.8,bird,43
anas clypeata,613,bird,44.5
anas platyrhynchos,1048.1,bird,45
anas rubripes,998.7,bird,56
anser fabalis,3348,bird,83
aythya marila,928.5,bird,43
branta canadensis,3200,bird,95
branta leucopsis,1687,bird,80
bucephala albeola,400,bird,37
callonetta leucophrys,365.5,bird,38
cereopsis novaehollandiae,3980,bird,90
clangula hyemalis,872,bird,44
cygnus atratus,5650,bird,95
cygnus columbianus,6350,bird,145
cygnus cygnus,9350,bird,132
dendrocygna autumnalis,828,bird,52
dendrocygna bicolor,737.1,bird,49
histrionicus histrionicus,561.25,bird,43
melanitta fusca,1360.8,bird,58
mergus merganser,1445,bird,61.8
mergus serrator,1020.6,bird,52
oxyura australis,798,bird,36
somateria mollissima,2130,bird,67
tadorna tadorna,1152,bird,69
alca torda,726,bird,40.4
cepphus grylle,427.5,bird,34.6
cerorhinca monocerata,544.1,bird,36.1
fratercula arctica,490.5,bird,31.4
uria aalge,992,bird,45.5
uria lomvia,964,bird,46.9
larus argentatus,1094,bird,78.3
larus marinus,1658.5,bird,85.1
rissa tridactyla,317,bird,48
sterna hirundo,120,bird,33
himantopus himantopus,161,bird,36.8
himantopus mexicanus,186,bird,32.6
recurvirostra americana,340,bird,40.7
bartramia longicauda,141,bird,31.1
limosa fedoa,336,bird,44.8
numenius arquata,728,bird,53.5
phalaropus lobatus,33.8,bird,18.1
tringa flavipes,80.65,bird,25.8
stercorarius parasiticus,445.5,bird,49.4
ciconia nigra,2926,bird,97
jabiru mycteria,5470,bird,119
mycteria americana,2500,bird,92
caloenas nicobarica,519,bird,39.2
columba livia,358.7,bird,33
zenaida macroura,119,bird,21.8
coccyzus americanus,57.8,bird,15.6
coccyzus erythropthalmus,37.5,bird,14.6
falco sparverius,117,bird,26
ortalis vetula,495.5,bird,27.5
numida meleagris,1299,bird,38
colinus virginianus,194,bird,18.9
bonasa umbellus,532,bird,27.7
centrocercus urophasianus,1929.5,bird,46.6
coturnix coturnix,96.5,bird,18.7
pavo cristatus,4200,bird,61
tetrao urogallus,2950,bird,51.8
tympanuchus cupido,908,bird,34.9
gavia immer,3405,bird,109
gavia stellata,1816,bird,70.7
ardea cocoi,1937.7,bird,82.8
ardea goliath,4468,bird,96
ardea herodias,1870,bird,101
botaurus lentiginosus,706,bird,68
butorides virescens,175,bird,42
